,Category,Class,Country,Unit,Value
490,Total number of threatened species,Reptiles,Austria,Number,9.0
491,Number of endangered indigenous species,Reptiles,Austria,Number,3.0
492,Number of critically endangered indigenous species,Reptiles,Austria,Number,3.0
493,Number of vulnerable indigenous species,Reptiles,Austria,Number,3.0
494,Total number of known species,Reptiles,Belgium,Number,10.0
495,Total number of indigenous known species,Reptiles,Belgium,Number,7.0
496,Number of endangered species,Reptiles,Belgium,Number,2.0
497,Number of vulnerable species,Reptiles,Belgium,Number,2.0
498,Total number of threatened species,Reptiles,Belgium,Number,4.0
499,Number of endangered indigenous species,Reptiles,Belgium,Number,2.0
500,Number of vulnerable indigenous species,Reptiles,Belgium,Number,2.0
501,Total number of known species,Reptiles,Canada,Number,45.0
502,Total number of indigenous known species,Reptiles,Canada,Number,43.0
503,Number of endangered species,Reptiles,Canada,Number,6.0
504,Number of vulnerable species,Reptiles,Canada,Number,15.0
505,Total number of threatened species,Reptiles,Canada,Number,26.0
506,Number of endangered indigenous species,Reptiles,Canada,Number,6.0
507,Number of vulnerable indigenous species,Reptiles,Canada,Number,15.0
508,Total number of known species,Reptiles,Czech Republic,Number,12.0
509,Total number of indigenous known species,Reptiles,Czech Republic,Number,12.0
510,Number of endangered species,Reptiles,Czech Republic,Number,3.0
511,Number of critically endangered species,Reptiles,Czech Republic,Number,1.0
512,Number of vulnerable species,Reptiles,Czech Republic,Number,3.0
513,Total number of threatened species,Reptiles,Czech Republic,Number,7.0
514,Total number of known species,Reptiles,Denmark,Number,8.0
515,Total number of indigenous known species,Reptiles,Denmark,Number,8.0
516,Total number of known species,Reptiles,Finland,Number,5.0
517,Total number of indigenous known species,Reptiles,Finland,Number,5.0
518,Number of vulnerable species,Reptiles,Finland,Number,1.0
519,Total number of threatened species,Reptiles,Finland,Number,1.0
520,Number of vulnerable indigenous species,Reptiles,Finland,Number,1.0
521,Total number of known species,Reptiles,France,Number,38.0
522,Number of endangered species,Reptiles,France,Number,3.0
523,Number of critically endangered species,Reptiles,France,Number,0.0
524,Number of vulnerable species,Reptiles,France,Number,6.0
525,Total number of threatened species,Reptiles,France,Number,9.0
526,Total number of known species,Reptiles,Germany,Number,13.0
527,Total number of indigenous known species,Reptiles,Germany,Number,13.0
528,Number of endangered species,Reptiles,Germany,Number,3.0
529,Number of critically endangered species,Reptiles,Germany,Number,4.0
530,Number of vulnerable species,Reptiles,Germany,Number,1.0
531,Total number of threatened species,Reptiles,Germany,Number,8.0
532,Number of endangered indigenous species,Reptiles,Germany,Number,3.0
533,Number of critically endangered indigenous species,Reptiles,Germany,Number,4.0
534,Number of vulnerable indigenous species,Reptiles,Germany,Number,1.0
535,Total number of known species,Reptiles,Greece,Number,66.0
536,Total number of indigenous known species,Reptiles,Greece,Number,64.0
537,Number of endangered species,Reptiles,Greece,Number,2.0
538,Number of critically endangered species,Reptiles,Greece,Number,1.0
539,Number of vulnerable species,Reptiles,Greece,Number,6.0
540,Total number of threatened species,Reptiles,Greece,Number,9.0
541,Number of endangered indigenous species,Reptiles,Greece,Number,2.0
542,Number of critically endangered indigenous species,Reptiles,Greece,Number,1.0
543,Number of vulnerable indigenous species,Reptiles,Greece,Number,6.0
544,Total number of known species,Reptiles,Hungary,Number,15.0
545,Total number of indigenous known species,Reptiles,Hungary,Number,15.0
546,Number of endangered species,Reptiles,Hungary,Number,4.0
547,Total number of threatened species,Reptiles,Hungary,Number,4.0
548,Number of endangered indigenous species,Reptiles,Hungary,Number,4.0
549,Total number of known species,Reptiles,Ireland,Number,3.0
550,Total number of indigenous known species,Reptiles,Ireland,Number,2.0
551,Number of endangered species,Reptiles,Ireland,Number,0.0
552,Total number of threatened species,Reptiles,Ireland,Number,0.0
553,Number of endangered indigenous species,Reptiles,Ireland,Number,0.0
554,Total number of known species,Reptiles,Italy,Number,56.0
555,Number of endangered species,Reptiles,Italy,Number,5.0
556,Number of critically endangered species,Reptiles,Italy,Number,1.0
557,Number of vulnerable species,Reptiles,Italy,Number,5.0
558,Total number of threatened species,Reptiles,Italy,Number,11.0
559,Total number of known species,Reptiles,Japan,Number,100.0
560,Number of endangered species,Reptiles,Japan,Number,9.0
561,Number of critically endangered species,Reptiles,Japan,Number,5.0
562,Number of vulnerable species,Reptiles,Japan,Number,23.0
563,Total number of threatened species,Reptiles,Japan,Number,37.0
564,Total number of known species,Reptiles,Korea,Number,32.0
565,Number of endangered species,Reptiles,Korea,Number,3.0
566,Number of vulnerable species,Reptiles,Korea,Number,2.0
567,Total number of threatened species,Reptiles,Korea,Number,5.0
568,Total number of known species,Reptiles,Luxembourg,Number,6.0
569,Number of endangered species,Reptiles,Luxembourg,Number,0.0
570,Number of critically endangered species,Reptiles,Luxembourg,Number,0.0
571,Number of vulnerable species,Reptiles,Luxembourg,Number,2.0
572,Total number of threatened species,Reptiles,Luxembourg,Number,2.0
573,Total number of known species,Reptiles,Mexico,Number,953.0
574,Total number of indigenous known species,Reptiles,Mexico,Number,509.0
575,Number of endangered species,Reptiles,Mexico,Number,27.0
576,Number of critically endangered species,Reptiles,Mexico,Number,0.0
577,Number of vulnerable species,Reptiles,Mexico,Number,138.0
578,Total number of threatened species,Reptiles,Mexico,Number,165.0
579,Number of endangered indigenous species,Reptiles,Mexico,Number,17.0
580,Number of critically endangered indigenous species,Reptiles,Mexico,Number,0.0
581,Number of vulnerable indigenous species,Reptiles,Mexico,Number,92.0
582,Total number of known species,Reptiles,Netherlands,Number,7.0
583,Number of endangered species,Reptiles,Netherlands,Number,0.0
584,Number of critically endangered species,Reptiles,Netherlands,Number,1.0
585,Number of vulnerable species,Reptiles,Netherlands,Number,4.0
586,Total number of threatened species,Reptiles,Netherlands,Number,5.0
587,Total number of known species,Reptiles,New Zealand,Number,107.0
588,Total number of indigenous known species,Reptiles,New Zealand,Number,106.0
589,Number of endangered indigenous species,Reptiles,New Zealand,Number,8.0
590,Number of critically endangered indigenous species,Reptiles,New Zealand,Number,8.0
591,Number of vulnerable indigenous species,Reptiles,New Zealand,Number,21.0
592,Total number of known species,Reptiles,Norway,Number,9.0
593,Total number of indigenous known species,Reptiles,Norway,Number,5.0
594,Total number of known species,Reptiles,Poland,Number,11.0
595,Total number of indigenous known species,Reptiles,Poland,Number,9.0
596,Number of endangered species,Reptiles,Poland,Number,1.0
597,Number of critically endangered species,Reptiles,Poland,Number,1.0
598,Number of vulnerable species,Reptiles,Poland,Number,1.0
599,Total number of threatened species,Reptiles,Poland,Number,3.0
600,Number of endangered indigenous species,Reptiles,Poland,Number,1.0
601,Number of critically endangered indigenous species,Reptiles,Poland,Number,1.0
602,Number of vulnerable indigenous species,Reptiles,Poland,Number,1.0
603,Total number of known species,Reptiles,Portugal,Number,49.0
604,Total number of indigenous known species,Reptiles,Portugal,Number,32.0
605,Number of endangered species,Reptiles,Portugal,Number,4.0
606,Number of vulnerable species,Reptiles,Portugal,Number,6.0
607,Total number of threatened species,Reptiles,Portugal,Number,10.0
608,Number of endangered indigenous species,Reptiles,Portugal,Number,4.0
609,Number of vulnerable indigenous species,Reptiles,Portugal,Number,6.0
610,Total number of known species,Reptiles,Slovak Republic,Number,12.0
611,Total number of indigenous known species,Reptiles,Slovak Republic,Number,12.0
612,Number of critically endangered species,Reptiles,Slovak Republic,Number,1.0
613,Number of vulnerable species,Reptiles,Slovak Republic,Number,4.0
614,Total number of threatened species,Reptiles,Slovak Republic,Number,5.0
615,Number of critically endangered indigenous species,Reptiles,Slovak Republic,Number,1.0
616,Number of vulnerable indigenous species,Reptiles,Slovak Republic,Number,4.0
617,Total number of known species,Reptiles,Spain,Number,92.0
618,Number of endangered species,Reptiles,Spain,Number,5.0
619,Number of critically endangered species,Reptiles,Spain,Number,4.0
620,Number of vulnerable species,Reptiles,Spain,Number,10.0
621,Total number of threatened species,Reptiles,Spain,Number,19.0
622,Number of endangered indigenous species,Reptiles,Spain,Number,5.0
623,Number of critically endangered indigenous species,Reptiles,Spain,Number,4.0
624,Number of vulnerable indigenous species,Reptiles,Spain,Number,10.0
625,Total number of known species,Reptiles,Sweden,Number,6.0
626,Total number of indigenous known species,Reptiles,Sweden,Number,6.0
627,Number of vulnerable species,Reptiles,Sweden,Number,2.0
628,Total number of threatened species,Reptiles,Sweden,Number,2.0
629,Number of vulnerable indigenous species,Reptiles,Sweden,Number,2.0
630,Total number of known species,Reptiles,Switzerland,Number,19.0
631,Total number of indigenous known species,Reptiles,Switzerland,Number,19.0
632,Number of endangered species,Reptiles,Switzerland,Number,7.0
633,Number of critically endangered species,Reptiles,Switzerland,Number,3.0
634,Number of vulnerable species,Reptiles,Switzerland,Number,5.0
635,Total number of threatened species,Reptiles,Switzerland,Number,15.0
636,Number of endangered indigenous species,Reptiles,Switzerland,Number,7.0
637,Number of critically endangered indigenous species,Reptiles,Switzerland,Number,3.0
638,Number of vulnerable indigenous species,Reptiles,Switzerland,Number,5.0
639,Total number of known species,Reptiles,United Kingdom,Number,15.0
640,Total number of known species,Reptiles,United States,Number,345.0
641,Total number of indigenous known species,Reptiles,United States,Number,301.0
642,Number of endangered species,Reptiles,United States,Number,20.0
643,Number of critically endangered species,Reptiles,United States,Number,8.0
644,Number of vulnerable species,Reptiles,United States,Number,34.0
645,Total number of threatened species,Reptiles,United States,Number,62.0
646,Number of endangered indigenous species,Reptiles,United States,Number,20.0
647,Number of critically endangered indigenous species,Reptiles,United States,Number,8.0
648,Number of vulnerable indigenous species,Reptiles,United States,Number,33.0
649,Total number of known species,Reptiles,Chile,Number,124.0
650,Total number of indigenous known species,Reptiles,Chile,Number,122.0
651,Number of endangered species,Reptiles,Chile,Number,18.0
652,Number of vulnerable species,Reptiles,Chile,Number,25.0
653,Total number of threatened species,Reptiles,Chile,Number,52.0
654,Number of endangered indigenous species,Reptiles,Chile,Number,18.0
655,Number of vulnerable indigenous species,Reptiles,Chile,Number,25.0
656,Total number of known species,Reptiles,Estonia,Number,5.0
657,Total number of indigenous known species,Reptiles,Estonia,Number,5.0
658,Number of vulnerable species,Reptiles,Estonia,Number,1.0
659,Total number of threatened species,Reptiles,Estonia,Number,2.0
